symbol,ordType,side,execution_count_bucket,order_episode_count,filled_qty_sum,partial_or_multi_fill_count,ambiguous_order_count
LTCZ20,Limit,Buy,6_PLUS_FILLS,16,4833,16,0
LTCZ20,Limit,Buy,SINGLE_FILL,17,2192,0,0
LTCZ20,Limit,Sell,2_TO_5_FILLS,15,3620,15,0
LTCZ20,Limit,Sell,6_PLUS_FILLS,19,3922,19,0
LTCZ20,Limit,Sell,SINGLE_FILL,1,88,0,0
LTCZ20,Market,Buy,SINGLE_FILL,1,111,0,0
LTCZ20,Market,Sell,2_TO_5_FILLS,1,93,1,0
LTCZ20,Market,Sell,6_PLUS_FILLS,3,2689,3,0
LTCZ20,Market,Sell,SINGLE_FILL,1,21,0,0
LTCZ21,Limit,Buy,6_PLUS_FILLS,5,433100000000,5,0
LTCZ21,Limit,Buy,SINGLE_FILL,1,66600000000,0,0
LTCZ21,Limit,Sell,2_TO_5_FILLS,4,184970000000,4,0
LTCZ21,Limit,Sell,6_PLUS_FILLS,5,314730000000,5,0
LUNAUSD,Limit,Buy,2_TO_5_FILLS,12,3691,12,1
LUNAUSD,Limit,Buy,6_PLUS_FILLS,11,4766,11,0
LUNAUSD,Limit,Buy,SINGLE_FILL,2,900,0,0
LUNAUSD,Limit,Sell,2_TO_5_FILLS,23,4271,23,0
LUNAUSD,Limit,Sell,6_PLUS_FILLS,11,3666,11,0
LUNAUSD,Limit,Sell,SINGLE_FILL,13,1700,0,0
LUNAUSD,Market,Buy,2_TO_5_FILLS,1,385,1,0
LUNAUSD,Market,Buy,SINGLE_FILL,1,450,0,0
LUNAUSD,Market,Sell,SINGLE_FILL,1,555,0,0
ORDIUSD,Limit,Buy,SINGLE_FILL,9,64,0,0
TRXH21,Limit,Buy,2_TO_5_FILLS,17,5467068,17,0
TRXH21,Limit,Buy,6_PLUS_FILLS,27,18017889,27,0
TRXH21,Limit,Buy,SINGLE_FILL,35,8147391,0,0
TRXH21,Limit,Sell,2_TO_5_FILLS,16,6652289,16,0
TRXH21,Limit,Sell,6_PLUS_FILLS,23,16000000,23,0
TRXH21,Limit,Sell,SINGLE_FILL,25,8263213,0,0
TRXH21,Market,Buy,2_TO_5_FILLS,2,2700000,2,0
TRXH21,Market,Sell,2_TO_5_FILLS,4,2298957,4,0
TRXH21,Market,Sell,6_PLUS_FILLS,2,1117889,2,0
TRXM20,Limit,Buy,2_TO_5_FILLS,5,1200000,5,0
TRXM20,Limit,Buy,6_PLUS_FILLS,3,1000000,3,0
TRXM20,Limit,Buy,SINGLE_FILL,8,1300000,0,0
TRXM20,Limit,Sell,2_TO_5_FILLS,3,600000,3,0
TRXM20,Limit,Sell,6_PLUS_FILLS,2,300000,2,0
TRXM20,Limit,Sell,SINGLE_FILL,12,3500000,0,0
TRXM20,Market,Buy,6_PLUS_FILLS,1,2000000,1,0
TRXM20,Market,Sell,2_TO_5_FILLS,1,200000,1,0
TRXM20,Market,Sell,6_PLUS_FILLS,1,400000,1,0
TRXM20,Market,Sell,SINGLE_FILL,1,500000,0,0
TRXM21,Limit,Buy,2_TO_5_FILLS,34,4129997,34,0
TRXM21,Limit,Buy,6_PLUS_FILLS,24,3538772,24,0
TRXM21,Limit,Buy,SINGLE_FILL,61,5236661,0,0
TRXM21,Limit,Sell,2_TO_5_FILLS,14,2960000,14,0
TRXM21,Limit,Sell,6_PLUS_FILLS,26,5007380,26,2
TRXM21,Limit,Sell,SINGLE_FILL,11,2000000,0,0
TRXM21,Market,Buy,2_TO_5_FILLS,1,100000,1,0
TRXM21,Market,Sell,2_TO_5_FILLS,1,100000,1,0
TRXM21,Market,Sell,6_PLUS_FILLS,3,1885618,3,0
TRXM21,Market,Sell,SINGLE_FILL,2,1052432,0,0
TRXU20,Limit,Buy,2_TO_5_FILLS,11,5311740,11,0
TRXU20,Limit,Buy,6_PLUS_FILLS,17,29579358,17,0
TRXU20,Limit,Buy,SINGLE_FILL,23,6785870,0,0
TRXU20,Limit,Sell,2_TO_5_FILLS,8,2750000,8,0
TRXU20,Limit,Sell,6_PLUS_FILLS,18,31306776,18,0
TRXU20,Limit,Sell,SINGLE_FILL,19,5900000,0,0
TRXU20,Market,Buy,2_TO_5_FILLS,5,2726070,5,0
TRXU20,Market,Buy,6_PLUS_FILLS,1,1588035,1,0
TRXU20,Market,Buy,SINGLE_FILL,3,750000,0,0
TRXU20,Market,Sell,2_TO_5_FILLS,2,1450000,2,0
TRXU20,Market,Sell,6_PLUS_FILLS,4,2367902,4,0
TRXU20,Market,Sell,SINGLE_FILL,1,590325,0,0
TRXU20,StopLimit,Sell,SINGLE_FILL,1,2376070,0,0
TRXU21,Limit,Buy,2_TO_5_FILLS,4,1000000,4,0
